Component,Type,German,English,French,Italian,Spanish,Dutch,Danish,Swedish,Norwegian,Slovenian,Croatian,Hungarian,Polish,Russian
BtnLoadEpx,,EPX-Datei &laden,,,,,,,,,,,,,
BtnReadFSDevice,,&Auslesen,,,,,,,,,,,,,
BtnReadFSDeviceClick,TButton,btnReadSycInfo,Read Syc-Info,btnReadSycInfoClick,,,,,,,,,,,
BtnReadMRDevice,,&Auslesen,,,,,,,,,,,,,
BtnReadNFSDevice,,&Auslesen,,,,,,,,,,,,,
BtnReadParas,,Parameter &auslesen,,,,,,,,,,,,,
BtnReadStatisticDevice,,&Auslesen,,,,,,,,,,,,,
BtnReadStoerRec,,&Auslesen,,,,,,,,,,,,,
BtnReadStoerRecClick,TOpenDialog,OpenDlgBCC,SaveDlgBCC,,,,,,,,,,,,
BtnResetStoerRec,,&Reset,,,,,,,,,,,,,
BtnSaveEpx,,EPX-Datei &speichern,,,,,,,,,,,,,
BtnWriteFSDevice,,&Eintragen,,,,,,,,,,,,,
BtnWriteMRDevice,,&Eintragen,,,,,,,,,,,,,
BtnWriteNFSDevice,,&Eintragen,,,,,,,,,,,,,
BtnWriteStatisticDevice,,&Reset,,,,,,,,,,,,,
BtnWriteStatisticDeviceClick,TEditGroup,EGRpStat,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor,,,,,,
EdtStd_L,TGroupBox,GroupBox2,BCC,,,,,,,,,,,,
TbShtFS,TTabSheet,FS-Paras,EGrpFS,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor,GroupBox1,BCC,,,
TbShtMR,TEditGroup,MasterReset,EGrpMR,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor,GroupBox6,BCC,,,
TbShtNFS,TEditGroup,NFS-Paras,EGrpNFS,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor,GroupBox5,BCC,,,
TbShtStat,TLabel,Label14,20_sec,Label16,Pointer,Label17,Betriebsstd_H,Label18,Betriebsstd_L,StringGridRec,ColCount,DefaultColWidth,FixedCols,RowCount,FixedRows
TbShtStatistik,TGroupBox,Statistik,GroupBox7,BCC,,,,,,,,,,,
