Component,Type,German,English,French,Italian,Spanish,Dutch,Danish,Swedish,Norwegian,Slovenian,Croatian,Hungarian,Polish,Russian
BtnClcIDCRC,,&CRC berechnen,,,,,,,,,,,,,
BtnLoadBCC,,&BCC-Datei laden,,,,,,,,,,,,,
BtnLoadEpx,,EPX-Datei &laden,,,,,,,,,,,,,
BtnModBCC,,BCC-Datei &modifizieren,,,,,,,,,,,,,
BtnModBCCClick,TOpenDialog,OpenDlgBCC,SaveDlgBCC,,,,,,,,,,,,
BtnReadBCCID,,&Auslesen,,,,,,,,,,,,,
BtnReadBcc,,BCC a&uslesen,,,,,,,,,,,,,
BtnReadBccClick,TScrollBox,ScrollBox1,lblFW,Firmware,lblCRCFW,CRC,lblID,ID-Nummer,,,,,,,
BtnReadFSBCC,,A&uslesen,,,,,,,,,,,,,
BtnReadFSDevice,,&Auslesen,,,,,,,,,,,,,
BtnReadFSDeviceClick,TGroupBox,GroupBox2,BCC,,,,,,,,,,,,
BtnReadID,,ID auslesen,,,,,,,,,,,,,
BtnReadMRBCC,,A&uslesen,,,,,,,,,,,,,
BtnReadMRBCCClick,TGroupBox,GroupBox6,EEProm,,,,,,,,,,,,
BtnReadMRDevice,,&Auslesen,,,,,,,,,,,,,
BtnReadMainBCC,,A&uslesen,,,,,,,,,,,,,
BtnReadMainDevice,,&Auslesen,,,,,,,,,,,,,
BtnReadNFSBCC,,A&uslesen,,,,,,,,,,,,,
BtnReadNFSBCCClick,TGroupBox,GroupBox5,EEProm,,,,,,,,,,,,
BtnReadNFSDevice,,&Auslesen,,,,,,,,,,,,,
BtnReadParas,,Parameter &auslesen,,,,,,,,,,,,,
BtnResetBCCID,,&Reset ID,,,,,,,,,,,,,
BtnResetBCCIDClick,TEditGroup,EGRpBCCID,intern_eea_ID_number_BCC_High,intern_eea_ID_number_BCC_Low,intern_eea_ID_CRC_BCC,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor,,,
BtnSaveBCC,,B&CC-Datei speichern,,,,,,,,,,,,,
BtnSaveEpx,,EPX-Datei &speichern,,,,,,,,,,,,,
BtnWriteBCC,,BCC e&intragen,,,,,,,,,,,,,
BtnWriteBCCID,,&Eintragen,,,,,,,,,,,,,
BtnWriteFSBCC,,E&intragen,,,,,,,,,,,,,
BtnWriteFSDevice,,&Eintragen,,,,,,,,,,,,,
BtnWriteMRBCC,,E&intragen,,,,,,,,,,,,,
BtnWriteMRDevice,,&Eintragen,,,,,,,,,,,,,
BtnWriteMainBCC,,E&intragen,,,,,,,,,,,,,
BtnWriteMainDevice,,&Eintragen,,,,,,,,,,,,,
BtnWriteMainDeviceClick,TGroupBox,GroupBox9,BCC,,,,,,,,,,,,
BtnWriteNFSBCC,,E&intragen,,,,,,,,,,,,,
BtnWriteNFSDevice,,&Eintragen,,,,,,,,,,,,,
ChkBxwithCRC,TButton,CRC-Berechnung,Checked,State,cbChecked,,,,,,,,,,
EdtFw,TEdit,MaxLength,,,,,,,,,,,,,
EdtID,TButton,MaxLength,btnWriteID,ID eintragen,btnWriteIDClick,,,,,,,,,,
TbShtBCC,TGroupBox,BCC ID,GroupBox7,EEProm,,,,,,,,,,,
TbShtFS,TEditGroup,FS-Paras,EGrpFS,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor,GroupBox1,EEProm,,,
TbShtMR,TEditGroup,MasterReset,EGrpMR,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor,GroupBox4,BCC,,,
TbShtMainParas,TTabSheet,MainParas,EGrpMainParas,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor,GroupBox8,EEProm,,,
TbShtNFS,TEditGroup,NFS-Paras,EGrpNFS,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor,GroupBox3,BCC,,,
TbShtStat,TButton,Firmware,,,,,,,,,,,,,
