Component,Type,German,English,French,Italian,Spanish,Dutch,Danish,Swedish,Norwegian,Slovenian,Croatian,Hungarian,Polish,Russian
strcAbtastrate,,Abtastrate,Sample rate,Choix de fréquence,Rata ricerca,Tasa muestreo,Aftastpunt,Logfrekvens,Provskala,rata provjere,Letapogatásigyak,Czas próbkowania,×àñòîòà âûáîðêè,,
strcAnzeigeBereich,,Anzeigebereich,Interval,Domaine de visualisation,Campo segnalazione,Periodo,Aanwijsbereik,Visningsområde,Indikeringsomrade,opseg prikaza,Kijelzõ-tart,Zakres wyœwietlania,Äèàïàçîí èíäèêàöèè,,
strcDatenaufzeichnung,,Datenaufzeichnung,Datalogging,Représentation des données,Registrazione dati,Registro gráfico,Gegevens inloggen,Datalogning,Datalistning,prikaz podataka,Adatfelrajzolás,Pocz¹tek rejestracji danych,Ãðàôèê äàííûõ,,
strcGrenzenYAchse,,Grenzen der Y-Achse,Limits Y- axxis,Limite axe Y,Limiti asse Y,Límites eje Y,Grenzen van y-as,Y-aksens grænse,Gränser för Y-axel,granice Y-osi,y-tengely határai,Wartoœci graniczne na osi Y,Ãðàíèöû îñè Y,,
strcInvalidInput,,Ungültige Eingabe!,Invalid input!,Saisie non valide,Inserimento non valido!,Entrada no válida,Ongeldige input!,Ugyldig angivelse,Ogiltig inmatning,krivi unos!,Érvénytelen bevitel!,Nieprawid³owy wpis!,Íåâåðíûé ââîä!,,
strcLineWidth,,Linienstärke,Linewidth,Epaisseur de ligne,Spessore linea,Ancho línea,Lijnsterkte,Liniebredde,Radbredd,debljina crte,Vonalvastagság,Gruboœæ linii,Òîëùèíà ëèíèè,,
strcMinMax,,Min;Max:,Min;Max,Min;Max:,Min;Maks:,Min;Max:,min;max:,Ìèí;Ìàêñ:,,,,,,,
strcNoValuesSelected,,Keine Werte ausgewählt!,No values selected!,Aucune valeur choisie !,Nessun valore selezionato!,No hay valores seleccionados,Geen waarden geselecteerd,Ingen værdier er valgt,Inga värden valda,Nema odabranih vrijednosti!,Nincs érték kiválasztva!,Brak wybranych wartoœci!,Çíà÷åíèå íå âûáðàíî!,,
strcSollProtokolSpeichern,,Soll die Protokolldatei des Datenloggers gespeichert werden?,Save protocl file now?,Le protocole du Datenloggers doit-il être enregistré ?,L'archivio dati protocollo del datalogger deve venire salvato?,¿Guardar archivo protocolo ahora?,Gegevens protocol nu opslaan?,Skal protokolfilen gemmes nu?,Lagra protokollfil nu?,Treba li podatke protokola Datenloggera pohraniti?,Tárolandó a Datenlogger protokolladatai?,Zapisaæ plik protoko³u Datenlogger?,Ñîõðàíèòü ôàéë ïðîòîêîëà ðåãèñòðàòîðà äàííûõ?,,
strcSpeed,,Drehzahl [U/min],Speed [rpm],Vitesse de rotation [T/min],Velocità [giri/min],Velocidad giro [rpm],Toerental [T/min.],Omdrejningstal (o/min),Varvtal [U/min],Broj okretaja [U/min],Fordszám [U/min],predk. obr. [obr/min],×èñëî îáîðîòîâ [îá/ìèí],,
strcSpeichernFehlgeschlagen,,Speichern Grafikdatei fehlgeschlagen!,Saving of grafic file failed!,Enregistrement du graphique faux !,Salvataggio archivio dati grafico non riuscito!,Fallo al guardar diagrama,Opslaan grafische gegevens mislukt!,Forsøg på at gemme grafik-fil mislykkedes,Ogiltig lagring av grafikfil,Pohrana grafièkih podataka nije uspjela!,Grafikus adatok tárolója hibára futott!,Nieudany zapis pliku grafiki!,Ãðàôè÷åñêèé ôàéë íå ñîõðàíåí!,,
strcStartStop,,Start...Stop,Start … Stop,Inicio.. Stop,Start … Stop,Start…Stop,Start...Stop,start…stop,Ñòàðò…Ñòîï,,,,,,
strcTemperature,,Temperatur [°C],Temperature [°C],Temperatura [°C],Temperatura [ºC],Temperatuur [°C],Temperatur (°C),Temperatur [°C],Temperatura [°C],hõmérséklet [°C],temperatura [°C],Òåìïåðàòóðà [°C],,,
strcVLIstB12,,VL-Ist (NTC) B12,Sp-act (NTC) B12,Consigne départ (NTC) B12,Mandata attuale (NTC) B12,Ida-Valor Real (NTC) B12,Reële waarde VT (NTC) B12,Fremløbstemperatur (NTC) B12,Framledn.-Är (NTC) B12,Polaz je (NTC) B12,Elõrem-tény (NTC) B12,rzecz. t. zasilania (NTC) B12,Ôàêò. çíà÷. ïðÿìîé ëèíèè (NTC) B12,,
strcWWAuslaufB12,,stbDataLogger.Panels[2].Text,stbDataLogger.Panels[3].Text,stCharSets,TfrmDataLogger,RUSSIAN_CHARSET,stbDataLogger,ANSI_CHARSET,TsiColorDialog,siColorDialog1,Ctl3D,Options,cdPreventFullOpen,siLang,MainForm.siLang1
