Component,Type,German,English,French,Italian,Spanish,Dutch,Danish,Swedish,Norwegian,Slovenian,Croatian,Hungarian,Polish,Russian
BtnCancel,,btnSelectData,&Uebernehmen,&Accept,&reprendre,&Assumere,&Aceptar,&Overnemen,Accepter,&Acceptera,&preuzeti,&Átvenni,&Przechwyæ,&Ïðèíÿòü,btnSelectData
BtnCancelClick,TButton,btnSelectData,&Uebernehmen,btnSelectDataClick,,,,,,,,,,,
BtnReadResCnt,,Res-Cnt auslesen,,,,,,,,,,,,,
ChkBxLines,,&Dicke Linien,&Thick lines,&Lignes épaisses,&Spessore linee,&Línea gruesa,&Dikke lijnen,Tykke linier,&Fet rad,&debljina crta,&vastag vonal,&Grube linie,&Æèðíûå ëèíèè,,
ChkBxTmpFile,TButton,Salvataggio dati temporaneo,Archivo seguridad temporal,Tijdelijk bestand,Tmp-filer,temporär fil,temporar sigurnosni podaci,átmeneti bizt.adatok,Plik tymczasowy,Âðåìåííûé ôàéë,stDisplayLabels,stFonts,TfrmDataSelect,stMultiLines,ChkLstBxData.Items
EdtRes_cnt,TIB_STRINGLIST,stCaptions,TfrmDataSelect,Datenauswahl,Data selection,Choix de données,Selezione dati,Selección de datos,Dataselectie,Data valg,Dataval,izbor podataka,Adatkiválasztás,wybór danych,Âûáîð äàííûõ
LblBusClient,TLabel,Busteilnehmer,Bus device,Composant du Bus,Partecipante Bus,Dispositivo Bus,Bus-deelnemer,Bus  enhed,Bus-deltagare,BUS-uèesnik,Busrésztvevõk,uczestnik magistrali eBus,Ïîëüçîâàòåëü øèíû,,
LblValues,TTreeView,Grandeurs de mesures,Valori,Datos,Meetgrootte,Værdier,Värden,mjerne velièine,Változók,wielkoœci mierzone,Âåëè÷èíû èçìåðåíèÿ,stHints,TfrmDataSelect,TreeViewClients,ChkLstBxData
strcDrehzIst,,Drehz-Ist,Speed act.,Vitesse de rotation réelle,Numero giri attuale,Veloc. real,Reële waarde toerental,Omdr.,Varvtal Är,Broj okretaja je,fordsz-tény,rzecz. predk. obr.,×àñòÂðàù-Ôàêò,,
strcDrehzSoll,,Drehz-Soll,Speed set,Consigne vitesse de rotation,Numero giri nominale,Veloc. consigna,Instelwaarde toerental,Beregnet omdr.,Varvtal Bör,zadani broj okretaja,fordsz-par,zad. predk. obr.,×àñòÂðàù-Çàäàí,,
strcEHeizung,,Elektr. Heizung,Elect. heating,Réchauffage électrique,Riscaldamento elettrico,Calef. eléctrica,Elektr. verwarming,Elektrisk varme,El.värme,elektro grijanje,el.fûtés,ogrzewanie elektryczne,Ýëåêòðîîáîãðåâ,,
strcFlamme,,.Flamme,Flame,Flamme,Fiamma,Llama,Vlam,Flamme,Flamma,plamen,láng,p³omieñ,Ïëàìÿ,,
strcFuehlerB10,,Pufferfühler B10,Calorifier sensor,Sonde de ballon B10,Sonda polmone B10,Sonda depósito apoyo B10,Buffervatvoeler B10,Bufferføler B10,Ackum.givare B10,pipalo aku-spremnika B10,pufferérzékelõ B10,czujnik t. zasobnika B10,Áóôåðíûé äàò÷èê B10,,
strcFuehlerB11,,Weichenfühler B11,De-couple sensor B11,Sonde de bouteille casse-pression B11,Sonda compensatore B11,Sonda compensador B11,Evenwichtsflesvoeler B11,Blandepotteføler B11,Växelgivare B11,pipalo razdjelnika B11,váltóérzékelõ B11,czujnik t. w sprzegle B11,Äàò÷èê ñòðåëêè B11,,
