Component,Type,German,English,French,Italian,Spanish,Dutch,Danish,Swedish,Norwegian,Slovenian,Croatian,Hungarian,Polish,Russian
BtnParasLoad,,&Laden,&Load,&Charger,&Caricare,&Cargar,&Laden,Indlæs,&Ladda,&pozivati,&Betölteni,&Otwórz,&Çàãðóçèòü,,
BtnParasSave,,&Speichern,&Save,&Enregistrer,&Salvare,&Guardar,&Opslaan,Gem,&Spara,&pohraniti,&Tárolni,&Zapis,&Ñîõðàíèòü,,
BtnReadEndanwender,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läsa,&oèitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü,,
BtnReadFachmann,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läsa,&oèitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü,,
BtnReadProgHz1,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läsa,&oèitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü,,
BtnReadProgHz2,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läsa,&oèitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü,,
BtnReadProgHz3,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läsa,&oèitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü,,
BtnReadProgWW,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läsa,&oèitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü,,
BtnReadProgZirk,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läsa,&oèitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü,,
BtnWriteEndanwender,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Ingeven,Skriv,&Skriva,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè,,
BtnWriteFachmann,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Ingeven,Skriv,&Skriva,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè,,
BtnWriteProgHz1,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Ingeven,Skriv,&Skriva,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè,,
BtnWriteProgHz2,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Ingeven,Skriv,&Skriva,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè,,
BtnWriteProgHz3,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Ingeven,Skriv,&Skriva,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè,,
BtnWriteProgWW,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Ingeven,Skriv,&Skriva,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè,,
BtnWriteProgZirk,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Ingeven,Skriv,&Skriva,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè,,
BtnWriteProgZirkClick,TIB_STRINGLIST,Nederlands,Dansk,Swedish,Norwegian,Slovenski,Hrvatski,Magyar,Polski,Russian,Greece,Language,Deutsch,TranslationData,stCaptions
CbBxHz1DiAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1DiAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1DiAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1DiEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1DiEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1DiEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1DoAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1DoAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1DoAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1DoEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1DoEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1DoEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1FrAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1FrAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1FrAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1FrEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1FrEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1FrEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1MiAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1MiAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1MiAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1MiEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1MiEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1MiEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1MoAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1MoAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxHz1MoAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
