Component,Type,German,English,French,Italian,Spanish,Dutch,Danish,Swedish,Norwegian,Slovenian,Croatian,Hungarian,Polish,Russian
BtnActivate,,&Aktivieren,Activate,Activer,Attivare,Activar,Activeren,Aktiveres,&Aktivera,Aktivere,&Aktiviraj,&Aktivirati,&Aktiválni,&Aktywacja,
BtnDeactivate,,&Deaktivieren,Deactivate,Désactiver,Disattivare,Desactivar,Deactiveren,Deaktiveres,&Deaktivera,Deaktivere,&Deaktiviraj,&Deaktivirati,&Deaktiválni,&Deaktywacja,
BtnParasLoad,,&Laden,&Load,&Charger,&Caricare,&Cargar,&Laden,Indlæs,La&dda,Innles,&Naloži,&pozivati,&Betölteni,&Otwórz,&Çàãðóçèòü
BtnParasSave,,&Speichern,&Save,&Enregistrer,&Salvare,&Guardar,&Opslaan,Gem,&Spara,Lagre,&Shrani,&pohraniti,&Tárolni,&Zapisz,&Ñîõðàíèòü
BtnReadConfig,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadEndanwender,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadFM_HZK1,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadFM_HZK2,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadFM_WW,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadHistorie,,&Auslesen,,,,,,,,,,,,,
BtnReadProgHz1,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadProgHz2,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadProgHz3,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
