Component,Type,German,English,French,Italian,Spanish,Dutch,Danish,Swedish,Norwegian,Slovenian,Croatian,Hungarian,Polish,Russian
BtnLoadParas,,&Laden,&Load,&Charger,&Caricare,&Cargar,&Laden,Indlæs,&Ladda,&pozivati,&Betölteni,&Otwórz,&Çàãðóçèòü,,
BtnLoadParasKA,,&Laden,&Load,&Charger,&Caricare,&Cargar,&Laden,Indlæs,&Ladda,&pozivati,&Betölteni,&Otwórz,&Çàãðóçèòü,,
BtnReadConfig,,&Leer,&Aflezen,Udlæs,&Läsa,&oèitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü,EGrpP572_576,lbl571,CbbxP571,lbl577,CbbxP577,EGrpP578
BtnReadConfigClick,TIB_STRINGLIST,Nederlands,Dansk,Swedish,Norwegian,Slovenski,Hrvatski,Magyar,Polski,Russian,Greece,Language,Deutsch,TranslationData,stCaptions
BtnReadFM_HZK,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läsa,&oèitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü,,
BtnReadFM_WW,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läsa,&oèitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü,,
BtnReadHistorie,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läsa,&oèitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü,,
BtnReadParas,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läsa,&oèitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü,,
BtnReadProgWW,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läsa,&oèitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü,,
BtnReadProgZirk,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läsa,&oèitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü,,
BtnResetHistorie,,&Reset,R&eset,&Resettare,Rese&t,&Reset,Reset,&Aterställ,&vrati,&Visszaállítani,R&eset,Ñáðî&ñèòü,,,
BtnSaveParas,,&Speichern,&Save,&Enregistrer,&Salvare,&Guardar,&Opslaan,Gem,&Spara,&pohraniti,&Tárolni,&Zapis,&Ñîõðàíèòü,EGrpInfo11,
BtnSaveParasClick,TEditGroup,lbl533,533 Kesselfolge 1,lbl534,534 Kesselfolge 2,LBlFolge1Kess1,LBlFolge1Kess2,LBlFolge1Kess3,LBlFolge2Kess1,LBlFolge2Kess2,LBlFolge2Kess3,LBlFolge2Kess5,LBlFolge2Kess4,LBlFolge1Kess5,LBlFolge1Kess4
BtnSaveParasKA,,&Speichern,&Save,&Enregistrer,&Salvare,&Guardar,&Opslaan,Gem,&Spara,&pohraniti,&Tárolni,&Zapis,&Ñîõðàíèòü,,
BtnWriteFM_HZK,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,&Skriva,&unositi,&Bevinni,&Zapis w urz.,&Âíåñòè,,
BtnWriteFM_WW,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,&Skriva,&unositi,&Bevinni,&Zapis w urz.,&Âíåñòè,,
BtnWriteParas,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,&Skriva,&unositi,&Bevinni,&Zapis w urz.,&Âíåñòè,,
BtnWriteProgWW,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,&Skriva,&unositi,&Bevinni,&Zapis w urz.,&Âíåñòè,,
BtnWriteProgZirk,TBShtFMHZ,lbl525,lbl531,lbl533,lbl534,LBlFolge1Kess1,LBlFolge1Kess2,LBlFolge1Kess3,LBlFolge2Kess1,LBlFolge2Kess2,LBlFolge2Kess3,LBlFolge2Kess5,LBlFolge2Kess4,LBlFolge1Kess5,LBlFolge1Kess4
CbBxBetriebsartHZ,TEdit,Style,csSimple,ItemHeight,Service,Standby,Sommer,Automatik,Standby WTC,,,,,,
CbBxBetriebsartschalter,TComboBox,Style,csDropDownList,ItemHeight,Standby WTC,Standby,Automatik,Sommer,,,,,,,
CbBxFolge1Kess1,TComboBox,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxFolge1Kess2,TComboBox,Style,csDropDownList,ItemHeight,,,,,,,,,,,
