Component,Type,German,English,French,Italian,Spanish,Dutch,Danish,Swedish,Norwegian,Slovenian,Croatian,Hungarian,Polish,Russian
BtnAnlageParasLoad,,&Laden,,,,,,,,,,,,,
BtnAnlageParasRead,,&Auslesen,,,,,,,,,,,,,
BtnAnlageParasWrite,,&Eintragen,,,,,,,,,,,,,
BtnEEDownLoad,,EEProm Download,,,,,,,,,,,,,
BtnFSLoad,,&Laden,,,,,,,,,,,,,
BtnFSRead,,&Auslesen,,,,,,,,,,,,,
BtnFSSave,,&Speichern,,,,,,,,,,,,,
BtnFSSaveClick,TButton,btnSaveAll,Alle &Daten speichern,btnSaveAllClick,,,,,,,,,,,
BtnFSWrite,,&Eintragen,,,,,,,,,,,,,
BtnHistoryClear,,Rüc&ksetzen,,,,,,,,,,,,,
BtnHistoryLoad,,&Laden,,,,,,,,,,,,,
BtnHistoryRead,,&Auslesen,,,,,,,,,,,,,
BtnHistorySave,,&Speichern,,,,,,,,,,,,,
BtnIoParasSave,,&Speichern,,,,,,,,,,,,,
BtnMenuLoad,,&Laden,,,,,,,,,,,,,
BtnMenuRead,,&Auslesen,,,,,,,,,,,,,
BtnMenuSave,,&Speichern,,,,,,,,,,,,,
BtnMenuWrite,,&Eintragen,,,,,,,,,,,,,
BtnServiceLoad,,&Laden,,,,,,,,,,,,,
BtnServiceRead,,&Auslesen,,,,,,,,,,,,,
BtnServiceSave,,&Speichern,,,,,,,,,,,,,
BtnServiceWrite,,&Eintragen,,,,,,,,,,,,,
BtnStatisticClear,,Rüc&ksetzen,,,,,,,,,,,,,
BtnStatisticLoad,,&Laden,,,,,,,,,,,,,
BtnStatisticRead,,&Auslesen,,,,,,,,,,,,,
BtnStatisticSave,,&Speichern,,,,,,,,,,,,,
CbBxBetriebsartHZ,,Style,csSimple,ItemHeight,,,,,,,,,,,
CbBxBetriebsartHZChange,TComboBox,CbbxState,Style,csSimple,ItemHeight,inaktiv (0),Pr1: Entlüftung Schwarzwasser,Pr2: Entlüftung Ölleitung,Pr3: Minimale Brennerleistung,Pr4: Mittlere Brennerleistung,Pr5: Maximale Brennerleistung,Pr6: Minimale Brennerleistung,Pr7: Kühlung Vormischkammer,inaktiv (8),inaktiv (9)
CbBxFCode,,Style,csSimple,ItemHeight,,,,,,,,,,,
CbBxP10,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxP10Change,TComboBox,Ausf.- W,Ausf.- I,Ausf.- P,Ausf.- H mit Puffer P1,Ausf.- H mit Puffer P2,Ausf.- H mit Puffer P3,Ausf.- W mit Puffer P1,Ausf.- W mit Puffer P2,Ausf.- W mit Puffer P3,Ausf.- I mit Puffer P1,Ausf.- I mit Puffer P2,Ausf.- I mit Puffer P3,Ausf.- P,Ausf.- P mit Puffer P3
CbBxP13,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxP14,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxP15,TComboBox,Style,csDropDownList,ItemHeight,0 - Heizkreisfreigabe,1 - Heizkreis Absenk/Normal,2 - -----,3 - Stand-By mit Frostschutz,,,,,,,
CbBxP17,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxP17Change,TComboBox,P70 Wartungsintervall#h,P71 eBUS-Speisung#,P75 Gebläsekorrektur Kaltstart#%,P76 Gebläsekorrektur Warmstart#%,%P77 Gebläsekorrektur Max-Last#10U/min,%P78 Gebläsekorrektur Min-Last#10U/min,!P79 Korrekturfaktor Dosierpumpe#%,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor
ChkBxHZFrg,TCheckBox,Freigabe,,,,,,,,,,,,,
ChkBxWWFrg,TTabSheet,Freigabe,,,,,,,,,,,,,
ChkGrpInlets,TGroupBox,Flamme,test,,,,,,,,,,,,
ChkGrpOutlets,TRadioGroup,MFA,Zündung,Ölventil/Pumpe,Pumpe,test,,,,,,,,,
ChkGrpS00Click,TGroupBox,S0.0 Brennwertzentrale,!S0.1 Entlüftung Ölleitung erlaubt,S0.2 Zündstromüberwachung,S0.3 BCC aktiviert,S0.4 TW Ereigniszählung,test,,,,,,,,
GrpBoxInlets,TCheckGroup,Eingänge,,,,,,,,,,,,,
