VARIABLE NAME                  | ADDRESS 
=============================================

--- RAM ---
AB_0000                        | 0x002B
AB_0000_ALT                    | 0x0060
AIN_FS_ERR_MASK                | 0x00E2
ANAIN4                         | 0x0066
BCC_STATUS                     | 0x00F8
BE1_50HZ_CNT                   | 0x0052
BE2_50HZ_CNT                   | 0x0053
BE3_50HZ_CNT                   | 0x0054
BE4_50HZ_CNT                   | 0x0055
BE5_50HZ_CNT                   | 0x0056
BE6_50HZ_CNT                   | 0x0057
BE7_50HZ_CNT                   | 0x0058
BE8_50HZ_CNT                   | 0x0059
BYTEDIAGNOSE                   | 0x000A
CNTBOOSTER                     | 0x0064
CNTGDWOSZ                      | 0x007C
CONSIS_MARK                    | 0x0024
DT_VLRL_MAX                    | 0x00C6
DT_VLRL_SOLL                   | 0x00C5
DT_VL_ESTB2_MAX                | 0x00C7
EBUS_BITS                      | 0x0026
EB_0000                        | 0x0027
EB_0001                        | 0x0028
EE_CONST_CRC                   | 0x0045
EPIONNULL                      | 0x004F
ERR_MERK                       | 0x0023
ERR_MERK_ALT                   | 0x00E3
F_CODE                         | 0x0065
F_CODE_ALT                     | 0x00E4
HZZUSTBM                       | 0x0072
HZ_HYS                         | 0x00AD
HZ_KP                          | 0x00B0
HZ_KTND                        | 0x00B1
ICL100MSEC                     | 0x0079
ICL1HRS                        | 0x007B
ICL1HRS_ALT                    | 0x00F2
ICL20SEC                       | 0x007A
ICL20SEC_ALT                   | 0x00F1
IDLE_R0                        | 0x0000
IDLE_R1                        | 0x0001
IDLE_R2                        | 0x0002
IDLE_R3                        | 0x0003
IDLE_R4                        | 0x0004
IDLE_R5                        | 0x0005
IDLE_R6                        | 0x0006
IDLE_R7                        | 0x0007
ION_OFF                        | 0x003C
ION_ON                         | 0x003B
IRAEPKANF                      | 0x00AB
KASK_P_ANHEB                   | 0x0041
KESSEL_VARIANTE                | 0x00B7
KESS_BITS                      | 0x00DF
KESS_OPT                       | 0x00DD
KESS_OPT_2                     | 0x00DE
KESZUST                        | 0x0070
KES_DAT_CRC                    | 0x00E1
KLAPPENLAUFZEIT                | 0x00DA
KLAPPE_P_ANHEB                 | 0x0042
K_ZUST_BITS                    | 0x00EE
K_ZUST_BITS_2                  | 0x00EF
LIM_ION_FLASTAB                | 0x003D
MAXGFASTART                    | 0x0043
MAXTVSOLL                      | 0x00AB
MAXWWSOLL                      | 0x00C9
MB_0000                        | 0x002C
MB_0001                        | 0x002D
MB_0002                        | 0x002E
MB_0003                        | 0x002F
MB_2_ALT                       | 0x0051
MINTVSOLL                      | 0x00AC
MINWWSOLL                      | 0x00CA
MXGRADTVIST                    | 0x00B8
MXSTB_K                        | 0x0039
MXSTW_K                        | 0x003A
MXTABGAS                       | 0x00B9
MX_DREHZ_KESSEL                | 0x00B5
NGIST                          | 0x0077
NGIST_2                        | 0x00F4
NGIST_CNT                      | 0x0059
NGSOLL                         | 0x0078
NGXW1                          | 0x00EC
NG_BR_MIN                      | 0x0044
NG_DGESCHW                     | 0x00BB
NG_GR_MAX                      | 0x0037
NG_GR_MIN                      | 0x0036
NG_HZ_FREI                     | 0x00BE
NG_HZ_MAX                      | 0x00BF
